date,iso_a3,currency_code,name,local_price,dollar_ex,dollar_price,USD_raw,EUR_raw,GBP_raw,JPY_raw,CNY_raw,GDP_bigmac,adj_price,USD_adjusted,EUR_adjusted,GBP_adjusted,JPY_adjusted,CNY_adjusted
2002-04-01,RUS,RUB,Russia,39,31.2,1.25,-0.46809,-0.47397,-0.5668,-0.37977,-0.01429,3955.4965,1.78305036550448,-0.26282,-0.36981,-0.47127,-0.13748,-0.03717
2002-04-01,SGP,SGD,Singapore,3.3,1.82,1.81318681318681,-0.22843,-0.23697,-0.37162,-0.10033,0.42983,27687.2228787879,2.27569531049869,-0.16217,-0.28376,-0.39908,-0.01972,0.09429
2002-04-01,SWE,SEK,Sweden,26,10.4,2.5,0.06383,0.05206,-0.1336,0.24046,0.97143,25411.6111153846,2.22845607412303,0.17968,0.00847,-0.1539,0.38025,0.54078
2002-04-01,THA,THB,Thailand,55,43.3,1.270207852194,-0.45949,-0.46547,-0.5598,-0.36974,0.00165,3594.27500909091,1.77555179845212,-0.24774,-0.35691,-0.46045,-0.11984,-0.01747
2002-04-01,TUR,TRY,Turkey,4e+06,1324500,3.02000755001888,0.28511,0.27089,0.04661,0.49848,1.38149,0.002229215875,1.70093858710486,0.86701,0.59605,0.33908,1.18445,1.4385
2002-04-01,TWN,TWD,Taiwan,70,34.8,2.01149425287356,-0.14404,-0.15352,-0.3029,-0.00193,0.58621,15162.4672285714,2.01569494390581,0.04935,-0.10294,-0.24737,0.22777,0.37056
2002-04-01,USA,USD,United States,2.35,1,2.35,0,-0.01107,-0.18558,0.16603,0.85314,37101.45,2.47112447263659,0,-0.14513,-0.28277,0.17003,0.3061
2002-04-01,VEN,VEF,Venezuela,2500,857,2.9171528588098,0.24134,0.2276,0.01097,0.44744,1.30038,,,,,,,
2002-04-01,ZAF,ZAR,South Africa,9.7,10.9,0.889908256880734,-0.62132,-0.62551,-0.69159,-0.55844,-0.29824,6177.72360824742,1.82918139423932,-0.48842,-0.56266,-0.63308,-0.40144,-0.33182
2003-04-01,ARG,ARS,Argentina,4.1,2.88,1.42361111111111,-0.4213,-0.52244,-0.54723,-0.34796,0.19066,5589.438,1.88583186481237,-0.15269,-0.40851,-0.42239,-0.0387,0.13584
2003-04-01,AUS,AUD,Australia,3,1.61,1.86335403726708,-0.24254,-0.37492,-0.40737,-0.14656,0.55844,32722.7642,2.61984772553084,-0.20169,-0.44272,-0.45579,-0.09429,0.07016
2003-04-01,BRA,BRL,Brazil,4.55,3.07,1.48208469055375,-0.39753,-0.50282,-0.52863,-0.32118,0.23956,4491.07331868132,1.85611869617988,-0.10377,-0.37436,-0.38904,0.01681,0.20143
2003-04-01,CAN,CAD,Canada,3.2,1.45,2.20689655172414,-0.10289,-0.25968,-0.29811,0.01079,0.84577,29310.6001875,2.52754122075194,-0.01997,-0.31587,-0.33192,0.11187,0.31375
2003-04-01,CHE,CHF,Switzerland,6.3,1.37,4.5985401459854,0.86933,0.54262,0.46255,1.1062,2.84605,25966.0301904762,2.43706328203544,1.11791,0.47846,0.44377,1.40283,1.83912
2003-04-01,CHL,CLP,Chile,1400,716,1.95530726256983,-0.20516,-0.34408,-0.37812,-0.10444,0.63535,5423.03250257143,1.88133023189339,0.16655,-0.18566,-0.20477,0.32349,0.5638
2003-04-01,CHN,CNY,China,9.9,8.28,1.19565217391304,-0.51396,-0.59891,-0.61973,-0.45237,0,2380.28109090909,1.79901714650456,-0.25403,-0.47925,-0.49147,-0.15367,0
